SUBTOTAL,PARTIDA PRESUPUESTAL
7000000.0,Income (Funding)
1120000.0,Income (Funding) IVA
700000.0,Income (Funding)
14182.0,7007-009
110000.0,1107-009
50000.0,1122-005
100000.0,1101-007
110000.03,1107-005
100000.03,1101-006
20000.0,2010-005
40000.0,1193-003
540.0,7038-003
50000.0,1122-005
318313.74,Impuestos Pagados (IVA)
55677.28,Impuestos Pagados (ISR)
20000.0,2010-005
75000.0,1101-027
110000.0,1107-009
55000.0,1107-009
75000.0,1101-022
110000.03,1107-005
75000.0,1101-017
75000.0,1101-012
55000.0,1107-005
205450.0,Income (Funding)
32872.0,Income (Funding) IVA
10000.0,2010-005
10000.0,2010-006
52500.0,2004-003
48300.0,3402-003
11500.0,2010-010
6000.0,2011-003
5000.0,2011-011
2750.0,7001-003
269867.51,Impuestos Pagados (IVA)
59187.5,Impuestos Pagados (ISR)
100000.0,1104-003
50000.0,1202-003
10500.0,3403-009
1400000.0,1101-005
1100000.0,1101-011
300000.0,1101-011
814907.1299999999,1101-016
585092.8700000001,1101-016
1264907.13,1101-021
135092.8700000001,1101-021
14907.129999999888,1101-026
18900.0,2013-003
25000.0,1122-005
42892.86,1101-026
-178385.14,Income (Funding) IVA
591737.0,1101-026
750463.0,1101-026
29888.0,Impuestos Pagados (IVA)
27101.0,Impuestos Pagados (ISR)
700000.0,7003-004
18900.0,2013-003
37800.0,2013-003
50000.0,1202-003
168000.0,1204-003
40000.0,2001-003
40000.0,1222-008
52500.0,2004-003
15750.0,2005-003
21000.0,3403-009
48300.0,3402-003
1000000.0,Pago Carolina Rivera
18900.0,2013-003
25000.0,1202-003
42000.0,1204-003
20000.0,2001-003
10000.0,1222-008
26250.0,2004-003
15750.0,2005-003
10500.0,3403-009
24150.0,3402-003
16170.0,2201-003
210000.0,1101-037
275000.0,1107-015
210000.0,1101-033
275000.0,1107-019
50000.0,1104-003
18900.0,2013-004
33500.0,1202-004
42000.0,1204-004
20000.0,2001-004
10000.0,1222-009
8000.0,2014-003
26250.0,2004-004
15750.0,2005-004
10500.0,3403-010
24150.0,3402-004
32340.0,2201-004
20000.0,2010-006
11500.0,2010-010
6000.0,2011-003
5000.0,2011-011
2750.0,7001-003
5750.0,2010-010
3000.0,2011-003
2500.0,2011-011
1375.0,7001-003
681550.0,Income (Funding)
109048.0,Income (Funding) IVA
4185200.0,Income (Funding)
669632.0,Income (Funding) IVA
161795.0,Income (Funding)
25887.2,Income (Funding) IVA
500000.0,1201-009
6000.0,Petty Cash & Floats
350.0,7038-009
10000.0,1641-003
20000.0,2010-006
5.0,7038-008
3104.96,1287-005
4500.02,1287-005
538.0,1287-005
240.0,1287-005
9095093.42,Income (Funding)
1455214.94,Income (Funding) IVA
13665.96,3401-003
396.0,3999-001
6659.33,3401-010
37800.0,2013-004
42000.0,1204-004
42000.0,1204-004
40000.0,2001-004
20000.0,1222-009
16000.0,2014-003
52500.0,2004-004
31500.0,2005-004
21000.0,3403-010
48300.0,3402-004
10500.0,3403-015
21000.0,3403-015
64680.0,2201-004
64575.0,2202-003
37800.0,2213-003
47250.0,2206-003
125000.0,1122-011
210000.0,1101-041
14000.0,2705-003
14000.0,2705-003
14000.0,2705-003
69000.0,2010-011
36000.0,2011-004
30000.0,2011-012
335.34,3401-011
104.84,3401-011
212.07,3401-011
101.78,3401-011
54.96,3401-011
518.1,3401-011
68.67,3401-011
456.04,3401-011
381.89,3401-011
240.0,3401-011
191.0,3401-011
340.0,3401-011
16500.0,7001-004
817.07,1287-005
12439.0,3401-021
162700.0,7201-003
35.34,1487-003
2000.0,1426-014
1436.08,1426-014
59.48,1487-003
601.72,1426-014
270.0,1426-014
8.62,1487-003
431.03,1487-003
10.0,1487-003
3338.24,1426-014
1818638.4,Income (Funding)
318654.25,Impuestos Pagados (IVA)
155039.14,Impuestos Pagados (ISR)
18600.0,2795-003
22226.89,3401-004
666.81,3999-001
1535000.0,Petty Cash & Floats
1818638.4,7003-004
16508.0,3401-031
2367.24,3401-011
2360.35,3401-011
1631.9,3401-011
2000.01,3401-011
38.5,3401-011
38.5,3401-011
2922.41,3401-011
245.22,3401-011
733.62,3401-011
189.3,3401-009
339.0,3401-009
275.0,3401-009
27.0,3401-022
273.8,3401-009
278.4,3401-009
30.74,3401-011
8670.0,3401-032
431.03,3629-006
743.49,3401-011
10.34,3401-011
1860.0,3401-036
22436.0,3401-033
8250.0,3401-036
30.74,3401-014
3747.0,3401-035
3742.0,3401-035
82.76,7080-003
292.24,7080-003
90.0,7080-003
-90464.75,Petty Cash & Floats
203785.83,Petty Cash & Floats
38010.0,Petty Cash & Floats
203785.83,PC El Niñero S01
38010.0,PC El Niñero S01
60000.0,1193-003
125000.0,1193-007
37800.0,2013-004
42000.0,1204-004
42000.0,1204-004
40000.0,2001-004
20000.0,1222-009
16000.0,2014-003
37800.0,2020-003
67000.0,1202-004
67000.0,1202-004
25000.0,2017-003
52500.0,2004-004
31500.0,2005-004
78750.0,2003-003
52500.0,2003-003
45000.0,2005-009
21000.0,3403-010
21000.0,3403-015
37800.0,3403-003
64680.0,2201-004
43050.0,2202-003
31500.0,2206-003
20000.0,2401-009
53550.0,2401-003
28000.0,2705-003
30000.0,2703-003
27000.0,2795-011
112500.0,2701-003
23000.0,2707-009
105000.0,1101-045
105000.0,1101-046
2794.0,1426-007
107630.0,2494-075
16039.0,3401-023
46000.0,2010-011
