TIPO,REF,Etapa,ACCT,BUDGET
Above the Line,Cuenta General,,1100,10065000
Above the Line,Sub cuenta,,1101,8340000
Above the Line,Detalle,,1101-002,0
Above the Line,Detalle,,1101-004,0
Above the Line,Detalle,DEVELOPMENT,1101-005,1400000
Above the Line,Detalle,DEVELOPMENT,1101-006,100000
Above the Line,Detalle,DEVELOPMENT,1101-007,100000
Above the Line,Detalle,,1101-010,0
Above the Line,Detalle,DEVELOPMENT,1101-011,1400000
Above the Line,Detalle,DEVELOPMENT,1101-012,75000
Above the Line,Detalle,,1101-015,0
Above the Line,Detalle,DEVELOPMENT,1101-016,1400000
Above the Line,Detalle,DEVELOPMENT,1101-017,75000
Above the Line,Detalle,,1101-020,0
Above the Line,Detalle,DEVELOPMENT,1101-021,1400000
Above the Line,Detalle,DEVELOPMENT,1101-022,75000
Above the Line,Detalle,,1101-025,0
Above the Line,Detalle,DEVELOPMENT,1101-026,1400000
Above the Line,Detalle,DEVELOPMENT,1101-027,75000
Above the Line,Detalle,,1101-030,0
Above the Line,Detalle,,1101-032,0
Above the Line,Detalle,DEVELOPMENT,1101-033,210000
Above the Line,Detalle,,1101-036,0
Above the Line,Detalle,DEVELOPMENT,1101-037,210000
Above the Line,Detalle,,1101-040,0
Above the Line,Detalle,DEVELOPMENT,1101-041,210000
Above the Line,Detalle,,1101-044,0
Above the Line,Detalle,DEVELOPMENT,1101-045,105000
Above the Line,Detalle,DEVELOPMENT,1101-046,105000
Above the Line,Sub cuenta,,1104,150000
Above the Line,Detalle,,1104-002,0
Above the Line,Detalle,DEVELOPMENT,1104-003,150000
Above the Line,Sub cuenta,,1107,1100000
Above the Line,Detalle,,1107-002,0
Above the Line,Detalle,,1107-004,0
Above the Line,Detalle,DEVELOPMENT,1107-005,275000
Above the Line,Detalle,,1107-008,0
Above the Line,Detalle,DEVELOPMENT,1107-009,275000
Above the Line,Detalle,,1107-012,0
Above the Line,Detalle,,1107-014,0
Above the Line,Detalle,DEVELOPMENT,1107-015,275000
Above the Line,Detalle,,1107-018,0
Above the Line,Detalle,DEVELOPMENT,1107-019,275000
Above the Line,Sub cuenta,,1122,250000
Above the Line,Detalle,,1122-002,0
Above the Line,Detalle,,1122-004,0
Above the Line,Detalle,DEVELOPMENT,1122-005,125000
Above the Line,Detalle,,1122-008,0
Above the Line,Detalle,,1122-010,0
Above the Line,Detalle,DEVELOPMENT,1122-011,125000
Above the Line,Sub cuenta,,1193,225000
Above the Line,Detalle,,1193-002,0
Above the Line,Detalle,DEVELOPMENT,1193-003,100000
Above the Line,Detalle,,1193-006,0
Above the Line,Detalle,DEVELOPMENT,1193-007,125000
Above the Line,Cuenta General,,1200,9449620
Above the Line,Sub cuenta,,1201,5979120
Above the Line,Detalle,,1201-002,0
Above the Line,Detalle,ALL SHOW,1201-003,2149560
Above the Line,Detalle,,1201-005,0
Above the Line,Detalle,ALL SHOW,1201-006,2149560
Above the Line,Detalle,,1201-008,0
Above the Line,Detalle,ALL SHOW,1201-009,1680000
Above the Line,Sub cuenta,,1202,1063000
Above the Line,Detalle,,1202-002,0
Above the Line,Detalle,SOFT,1202-003,125000
Above the Line,Detalle,PREP,1202-004,301500
Above the Line,Detalle,SHOOT,1202-005,234500
Above the Line,Detalle,WRAP,1202-006,402000
Above the Line,Sub cuenta,,1204,1050000
Above the Line,Detalle,,1204-002,0
Above the Line,Detalle,SOFT,1204-003,210000
Above the Line,Detalle,PREP,1204-004,378000
Above the Line,Detalle,SHOOT,1204-005,294000
Above the Line,Detalle,WRAP,1204-006,168000
Above the Line,Sub cuenta,,1222,564500
Above the Line,Detalle,,1222-002,0
Above the Line,Detalle,PREP,1222-003,73500
Above the Line,Detalle,SHOOT,1222-004,73500
Above the Line,Detalle,,1222-007,0
Above the Line,Detalle,SOFT,1222-008,50000
Above the Line,Detalle,ALL SHOW,1222-009,367500
Above the Line,Sub cuenta,,1287,793000
Above the Line,Detalle,,1287-002,0
Above the Line,Detalle,,1287-004,0
Above the Line,Detalle,ALL SHOW,1287-005,52000
Above the Line,Detalle,ALL SHOW,1287-006,91000
Above the Line,Detalle,ALL SHOW,1287-007,221000
Above the Line,Detalle,,1287-010,0
Above the Line,Detalle,ALL SHOW,1287-011,117000
Above the Line,Detalle,ALL SHOW,1287-012,91000
Above the Line,Detalle,ALL SHOW,1287-013,221000
Above the Line,Cuenta General,,1300,2810543.88
Above the Line,Sub cuenta,,1301,2138352
Above the Line,Detalle,,1301-002,0
Above the Line,Detalle,SHOOT,1301-003,462000
Above the Line,Detalle,SHOOT,1301-004,31136
Above the Line,Detalle,SHOOT,1301-005,6672
Above the Line,Detalle,SHOOT,1301-006,31136
Above the Line,Detalle,SHOOT,1301-007,4200
Above the Line,Detalle,,1301-010,0
Above the Line,Detalle,SHOOT,1301-011,462000
Above the Line,Detalle,SHOOT,1301-012,31136
Above the Line,Detalle,SHOOT,1301-013,6672
Above the Line,Detalle,SHOOT,1301-014,31136
Above the Line,Detalle,SHOOT,1301-015,4200
Above the Line,Detalle,,1301-018,0
Above the Line,Detalle,SHOOT,1301-019,462000
Above the Line,Detalle,SHOOT,1301-020,31136
Above the Line,Detalle,SHOOT,1301-021,6672
Above the Line,Detalle,SHOOT,1301-022,31136
Above the Line,Detalle,SHOOT,1301-023,4200
Above the Line,Detalle,,1301-026,0
Above the Line,Detalle,SHOOT,1301-027,462000
Above the Line,Detalle,SHOOT,1301-028,15568
Above the Line,Detalle,SHOOT,1301-029,4448
Above the Line,Detalle,SHOOT,1301-030,15568
Above the Line,Detalle,SHOOT,1301-031,2100
Above the Line,Detalle,,1301-034,0
Above the Line,Detalle,SHOOT,1301-035,0
Above the Line,Detalle,SHOOT,1301-036,15568
Above the Line,Detalle,SHOOT,1301-037,0
Above the Line,Detalle,SHOOT,1301-038,15568
Above the Line,Detalle,SHOOT,1301-039,2100
Above the Line,Sub cuenta,,1302,259248
Above the Line,Detalle,,1302-002,0
Above the Line,Detalle,2nd Unit,1302-003,65000
Above the Line,Detalle,2nd Unit,1302-004,130000
Above the Line,Detalle,2nd Unit,1302-005,26688
Above the Line,Detalle,2nd Unit,1302-006,6672
Above the Line,Detalle,2nd Unit,1302-007,26688
Above the Line,Detalle,2nd Unit,1302-008,4200
Above the Line,Sub cuenta,,1320,75000
Above the Line,Detalle,,1320-002,0
Above the Line,Detalle,SHOOT,1320-003,75000
Above the Line,Sub cuenta,,1387,205200
Above the Line,Detalle,,1387-002,0
Above the Line,Detalle,PREP,1387-003,21600
Above the Line,Detalle,SHOOT,1387-004,151200
Above the Line,Detalle,WRAP,1387-005,0
Above the Line,Detalle,,1387-008,0
Above the Line,Detalle,2nd Unit,1387-009,10800
Above the Line,Detalle,2nd Unit,1387-010,21600
Above the Line,Sub cuenta,,1399,132743.88
Above the Line,Detalle,Fringes,1399-001,132743.88
Above the Line,Cuenta General,,1400,11960556.03
Above the Line,Sub cuenta,,1401,7612289
Above the Line,Detalle,SHOOT,1401-002,1848000
Above the Line,Detalle,SHOOT,1401-003,127998
Above the Line,Detalle,SHOOT,1401-004,0
Above the Line,Detalle,SHOOT,1401-005,0
Above the Line,Detalle,SHOOT,1401-006,22974
Above the Line,Detalle,SHOOT,1401-007,39384
Above the Line,Detalle,SHOOT,1401-008,14700
Above the Line,Detalle,SHOOT,1401-011,1000000
Above the Line,Detalle,SHOOT,1401-012,118152
Above the Line,Detalle,SHOOT,1401-013,0
Above the Line,Detalle,SHOOT,1401-014,0
Above the Line,Detalle,SHOOT,1401-015,22974
Above the Line,Detalle,SHOOT,1401-016,36102
Above the Line,Detalle,SHOOT,1401-017,14700
Above the Line,Detalle,SHOOT,1401-020,210000
Above the Line,Detalle,SHOOT,1401-021,96852
Above the Line,Detalle,SHOOT,1401-022,0
Above the Line,Detalle,SHOOT,1401-023,0
Above the Line,Detalle,SHOOT,1401-024,32284
Above the Line,Detalle,SHOOT,1401-025,32284
Above the Line,Detalle,SHOOT,1401-026,14700
Above the Line,Detalle,SHOOT,1401-029,252000
Above the Line,Detalle,SHOOT,1401-030,98460
Above the Line,Detalle,SHOOT,1401-031,22974
Above the Line,Detalle,SHOOT,1401-032,49230
Above the Line,Detalle,SHOOT,1401-033,14700
Above the Line,Detalle,SHOOT,1401-036,252000
Above the Line,Detalle,SHOOT,1401-037,88614
Above the Line,Detalle,SHOOT,1401-038,22974
Above the Line,Detalle,SHOOT,1401-039,42666
Above the Line,Detalle,SHOOT,1401-040,14700
Above the Line,Detalle,SHOOT,1401-043,228375
Above the Line,Detalle,SHOOT,1401-044,13128
Above the Line,Detalle,SHOOT,1401-045,3282
Above the Line,Detalle,SHOOT,1401-046,3282
Above the Line,Detalle,SHOOT,1401-047,1500
Above the Line,Detalle,SHOOT,1401-050,441000
Above the Line,Detalle,SHOOT,1401-051,26256
Above the Line,Detalle,SHOOT,1401-052,3282
Above the Line,Detalle,SHOOT,1401-053,0
Above the Line,Detalle,SHOOT,1401-054,3900
Above the Line,Detalle,SHOOT,1401-057,199500
Above the Line,Detalle,SHOOT,1401-058,36102
Above the Line,Detalle,SHOOT,1401-059,6564
Above the Line,Detalle,SHOOT,1401-060,0
Above the Line,Detalle,SHOOT,1401-061,3900
Above the Line,Detalle,SHOOT,1401-064,483000
Above the Line,Detalle,SHOOT,1401-065,26256
Above the Line,Detalle,SHOOT,1401-066,13128
Above the Line,Detalle,SHOOT,1401-067,0
Above the Line,Detalle,SHOOT,1401-068,3600
