ACCT,TIPO,BUDGET,COST TO DATE,REF,Etapa,VARIANCE
1100,Above the Line,10065000,10065000.08,Cuenta General,,-0.0800000000745058
1200,Above the Line,9449620,9361342.31,Cuenta General,,88277.68999999948
1300,Above the Line,2810543.88,2663850.53,Cuenta General,,146693.3500000001
1400,Above the Line,11960556.35,13899922.025,Cuenta General,,-1939365.6750000007
1600,Above the Line,1416167.2200000002,1188979.765,Cuenta General,,227187.4550000003
2000,Below the Line,6668300,7144077.982,Cuenta General,,-475777.98199999984
2100,Below the Line,1614000,2041865.6,Cuenta General,,-427865.6000000001
2200,Below the Line,1825740,1857793.179,Cuenta General,,-32053.179000000004
2300,Below the Line,1427550,951190.566,Cuenta General,,476359.434
2400,Below the Line,5268025,5254387.157,Cuenta General,,13637.843000000343
2500,Below the Line,1009000,1098245.021,Cuenta General,,-89245.02099999995
2600,Below the Line,1115250,1298282.0,Cuenta General,,-183032.0
2700,Below the Line,2972500,2967066.147,Cuenta General,,5433.853000000119
2800,Below the Line,1208200,1159295.102,Cuenta General,,48904.898000000045
2900,Below the Line,630386.75,363183.2,Cuenta General,,267203.55
3000,Below the Line,1624361.46,1170276.94,Cuenta General,,454084.52
3100,Below the Line,11484172.030000001,11595695.2,Cuenta General,,-111523.16999999806
3200,Below the Line,1139000,1472577.41,Cuenta General,,-333577.4099999999
3300,Below the Line,165500,408200.0,Cuenta General,,-242700.0
3400,Below the Line,15001515.110000001,12724039.845,Cuenta General,,2277475.2650000006
3500,Below the Line,281000,299000.0,Cuenta General,,-18000.0
3600,Below the Line,7591103.12,7730090.859,Cuenta General,,-138987.73900000006
3700,Below the Line,810000,896400.0,Cuenta General,,-86400.0
3800,Below the Line,747018.96,656977.98,Cuenta General,,90040.97999999998
3900,Below the Line,5965292.71,5884214.414,Cuenta General,,81078.29600000009
4100,Below the Line,1451938.3,1461546.561,Cuenta General,,-9608.26099999994
5000,Post,4891351.46,4889054.93,Cuenta General,,2296.5300000002608
5100,Post,2206500,2159000.0,Cuenta General,,47500.0
5200,Post,1843600,1866170.0,Cuenta General,,-22570.0
5300,Post,80000,0.0,Cuenta General,,80000.0
5400,Post,100000,35000.0,Cuenta General,,65000.0
6000,Post,3833200,4291613.01,Cuenta General,,-458413.0099999998
6100,Post,1452334.48,1250234.47,Cuenta General,,202100.01
7000,Others,13503508.17,12895653.216,Cuenta General,,607854.9539999999
7200,Others,1485676,1371757.2650000001,Cuenta General,,113918.73499999987
1101,Above the Line,8340000,8340000.02,Sub cuenta,,-0.019999999552965164
1104,Above the Line,150000,150000.0,Sub cuenta,,0.0
1107,Above the Line,1100000,1100000.06,Sub cuenta,,-0.060000000055879354
1122,Above the Line,250000,250000.0,Sub cuenta,,0.0
1193,Above the Line,225000,225000.0,Sub cuenta,,0.0
1201,Above the Line,5979120,5978554.41,Sub cuenta,,565.589999999851
1202,Above the Line,1063000,1063000.0,Sub cuenta,,0.0
1204,Above the Line,1050000,1053750.0,Sub cuenta,,-3750.0
1222,Above the Line,564500,566000.0,Sub cuenta,,-1500.0
1287,Above the Line,793000,700037.9,Sub cuenta,,92962.09999999998
1301,Above the Line,2138352,2183856.08,Sub cuenta,,-45504.080000000075
1302,Above the Line,259248,400994.44999999995,Sub cuenta,,-141746.44999999995
1320,Above the Line,75000,79000.0,Sub cuenta,,-4000.0
1387,Above the Line,205200,0.0,Sub cuenta,,205200.0
1399,Above the Line,132743.88,0.0,Sub cuenta,,132743.88
1401,Above the Line,7612289,8807210.2,Sub cuenta,,-1194921.1999999993
1403,Above the Line,1240398.32,1491930.49,Sub cuenta,,-251532.16999999993
1404,Above the Line,255106,107315.31,Sub cuenta,,147790.69
1406,Above the Line,196425,274385.23,Sub cuenta,,-77960.22999999998
1410,Above the Line,528052,715517.93,Sub cuenta,,-187465.93000000005
1411,Above the Line,330002,137813.36,Sub cuenta,,192188.64
1412,Above the Line,78000,0.0,Sub cuenta,,78000.0
1413,Above the Line,309100,232300.0,Sub cuenta,,76800.0
1420,Above the Line,381225,381243.0,Sub cuenta,,-18.0
1426,Above the Line,33868,24858.657,Sub cuenta,,9009.343
1480,Above the Line,170000,70000.0,Sub cuenta,,100000.0
1487,Above the Line,8000,7577.139999999999,Sub cuenta,,422.8600000000006
1499,Above the Line,818091.0300000001,1649770.708,Sub cuenta,,-831679.678
1620,Above the Line,108000,96760.18,Sub cuenta,,11239.820000000007
1621,Above the Line,229344.44,351513.03,Sub cuenta,,-122168.59000000003
1630,Above the Line,50000,29006.690000000002,Sub cuenta,,20993.309999999998
1631,Above the Line,95072.22,25745.03,Sub cuenta,,69327.19
1640,Above the Line,209441.63,176920.023,Sub cuenta,,32521.607000000018
1641,Above the Line,560513.3999999999,436616.12,Sub cuenta,,123897.27999999991
1642,Above the Line,146500,71091.59,Sub cuenta,,75408.41
1643,Above the Line,10500,770.212,Sub cuenta,,9729.788
1699,Above the Line,6795.530000000001,556.89,Sub cuenta,,6238.64
2001,Below the Line,520000,520000.0,Sub cuenta,,0.0
2003,Below the Line,742500,785134.0,Sub cuenta,,-42634.0
2004,Below the Line,551250,577500.0,Sub cuenta,,-26250.0
2005,Below the Line,673500,683500.0,Sub cuenta,,-10000.0
2006,Below the Line,90000,93750.0,Sub cuenta,,-3750.0
2009,Below the Line,198200,209633.33000000002,Sub cuenta,,-11433.330000000016
2010,Below the Line,726750,726750.0,Sub cuenta,,0.0
2011,Below the Line,749500,749500.0,Sub cuenta,,0.0
2013,Below the Line,491400,567000.0,Sub cuenta,,-75600.0
2014,Below the Line,429000,443000.0,Sub cuenta,,-14000.0
2017,Below the Line,237500,253500.0,Sub cuenta,,-16000.0
2019,Below the Line,119000,142600.0,Sub cuenta,,-23600.0
2020,Below the Line,619000,698220.55,Sub cuenta,,-79220.55000000005
2030,Below the Line,307700,335700.0,Sub cuenta,,-28000.0
2042,Below the Line,5000,9054.285,Sub cuenta,,-4054.285
2045,Below the Line,148000,148500.0,Sub cuenta,,-500.0
2080,Below the Line,60000,200735.81699999998,Sub cuenta,,-140735.81699999998
2103,Below the Line,1322000,2041865.6,Sub cuenta,,-719865.6000000001
2110,Below the Line,292000,0.0,Sub cuenta,,292000.0
2201,Below the Line,598290,598290.0,Sub cuenta,,0.0
2202,Below the Line,387450,387450.0,Sub cuenta,,0.0
2203,Below the Line,151200,151200.0,Sub cuenta,,0.0
2206,Below the Line,490000,511630.0,Sub cuenta,,-21630.0
2213,Below the Line,163800,180400.0,Sub cuenta,,-16600.0
2285,Below the Line,35000,28823.179,Sub cuenta,,6176.821
2310,Below the Line,116550,129150.0,Sub cuenta,,-12600.0
2311,Below the Line,125000,112566.2,Sub cuenta,,12433.800000000003
2385,Below the Line,60000,91213.206,Sub cuenta,,-31213.206000000006
2390,Below the Line,66000,62840.0,Sub cuenta,,3160.0
2394,Below the Line,1000000,497019.69000000006,Sub cuenta,,502980.30999999994
2398,Below the Line,60000,58401.47,Sub cuenta,,1598.5299999999988
2401,Below the Line,788425,810743.33,Sub cuenta,,-22318.329999999958
2402,Below the Line,88200,75600.0,Sub cuenta,,12600.0
2403,Below the Line,358650,416746.66,Sub cuenta,,-58096.659999999974
2405,Below the Line,301020,507605.83,Sub cuenta,,-206585.83000000002
2485,Below the Line,144000,114287.72,Sub cuenta,,29712.28
2490,Below the Line,120000,114000.0,Sub cuenta,,6000.0
2494,Below the Line,3001630,2814999.5670000003,Sub cuenta,,186630.43299999973
2495,Below the Line,366100,274470.2,Sub cuenta,,91629.79999999999
2498,Below the Line,100000,125933.85,Sub cuenta,,-25933.850000000006
2501,Below the Line,360500,360500.0,Sub cuenta,,0.0
2502,Below the Line,111000,105800.0,Sub cuenta,,5200.0
2508,Below the Line,102500,67840.75,Sub cuenta,,34659.25
2585,Below the Line,85000,87729.117,Sub cuenta,,-2729.1169999999984
2594,Below the Line,310000,469634.524,Sub cuenta,,-159634.52399999998
2598,Below the Line,40000,6740.63,Sub cuenta,,33259.37
2601,Below the Line,61900,82878.25,Sub cuenta,,-20978.25
2602,Below the Line,660900,706353.75,Sub cuenta,,-45453.75
2621,Below the Line,63600,98000.0,Sub cuenta,,-34400.0
2623,Below the Line,303850,411050.0,Sub cuenta,,-107200.0
2693,Below the Line,25000,0.0,Sub cuenta,,25000.0
2701,Below the Line,382500,382500.0,Sub cuenta,,0.0
2703,Below the Line,160000,160000.0,Sub cuenta,,0.0
2705,Below the Line,252000,252000.0,Sub cuenta,,0.0
2706,Below the Line,120000,121500.0,Sub cuenta,,-1500.0
2707,Below the Line,229000,318640.0,Sub cuenta,,-89640.0
2709,Below the Line,10000,0.0,Sub cuenta,,10000.0
2794,Below the Line,1500000,1488476.147,Sub cuenta,,11523.852999999886
2795,Below the Line,299000,243950.0,Sub cuenta,,55050.0
2798,Below the Line,20000,0.0,Sub cuenta,,20000.0
2801,Below the Line,474900,488100.0,Sub cuenta,,-13200.0
2802,Below the Line,253400,253400.0,Sub cuenta,,0.0
2804,Below the Line,120000,120000.0,Sub cuenta,,0.0
2805,Below the Line,159900,149400.0,Sub cuenta,,10500.0
2808,Below the Line,120000,135637.142,Sub cuenta,,-15637.141999999993
2885,Below the Line,80000,12757.96,Sub cuenta,,67242.04000000001
2902,Below the Line,411636.75000000006,345940.0,Sub cuenta,,65696.75000000006
2911,Below the Line,60000,9543.2,Sub cuenta,,50456.8
2985,Below the Line,78750,7700.0,Sub cuenta,,71050.0
2998,Below the Line,80000,0.0,Sub cuenta,,80000.0
3001,Below the Line,211465.80999999997,179527.93,Sub cuenta,,31937.879999999976
3002,Below the Line,418795.64999999997,420036.00999999995,Sub cuenta,,-1240.359999999986
3003,Below the Line,468050.0,354754.98,Sub cuenta,,113295.02000000002
3004,Below the Line,117300.0,71683.32,Sub cuenta,,45616.67999999999
3085,Below the Line,235000,69141.37,Sub cuenta,,165858.63
3091,Below the Line,93750,75133.33,Sub cuenta,,18616.67
3098,Below the Line,80000,0.0,Sub cuenta,,80000.0
3101,Below the Line,989000,1003000.0,Sub cuenta,,-14000.0
3102,Below the Line,605208.29,637583.3099999999,Sub cuenta,,-32375.019999999902
3104,Below the Line,490916.62,467123.12,Sub cuenta,,23793.5
3108,Below the Line,126000,126000.0,Sub cuenta,,0.0
3109,Below the Line,174750,203333.0,Sub cuenta,,-28583.0
3110,Below the Line,125000,64700.0,Sub cuenta,,60300.0
3112,Below the Line,272000,272000.0,Sub cuenta,,0.0
3145,Below the Line,837000,835124.99,Sub cuenta,,1875.0100000000093
3185,Below the Line,120000,67265.44,Sub cuenta,,52734.56
3192,Below the Line,324000,134000.0,Sub cuenta,,190000.0
3193,Below the Line,7120297.12,7755208.34,Sub cuenta,,-634911.2199999997
